Entity,democracy_eiu2024,life_expectancy_0__sex_total__age_02023,observation_value__indicator_child_mortality_rate__sex_total__wealth_quintile_total__unit_of_measure_deaths_per_100_live_births2023,sh_xpd_chex_pp_cd2022,_10_4_2__si_dst_fisp__postfiscal_disposable_income2100,_10_4_2__si_dst_fisp__prefiscal_income2100,population2100,owid_region2100,value__category_total__sex_total__age_total__unit_of_measurement_rate_per_100_000_population2023,death_rate100k__age_group_age_standardized__sex_both_sexes__cause_self_harm2021
Morocco,4.97,,1.6575052,,,,37884321.0,,1.7045435,2.959977
Mozambique,3.38,,6.1653104,,,,104346490.0,,,19.393421
Myanmar,0.96,,3.8736246,,,,49658836.0,,,2.8994374
Namibia,6.48,,4.065269,,,,5897889.0,,,10.951412
Nauru,,,0.8941596,,,,20635.0,,,28.328049
Nepal,4.6,,2.646811,,,,31831388.0,,,11.085525
Netherlands,9.0,,0.39572987,,,,17507466.0,,,9.138888
New Caledonia,,,,,,,337177.0,,,
New Zealand,9.61,,0.46839836,,,,5812244.0,,,11.083185
Nicaragua,2.09,,1.34289,,,,8611685.0,,,4.2012634
Niger,2.26,,11.4788685,,,,90819228.0,,,8.838728
Nigeria,4.16,,10.490962,,,,476747735.0,,,8.856394
Niue,,,2.427946,,,,2366.0,,,15.806572
North America,5.642143,,1.002991,,,,709314313.0,,,11.009999
North America (WB),,,,11842.92,,,,,,
North Korea,1.08,,1.7996751,,,,19512098.0,,,7.611078
North Macedonia,6.28,,0.32587263,,,,862957.0,,,4.633962
Northern America (UN),,,,,,,474965983.0,,,
Northern Mariana Islands,,,,,,,41583.0,,,
Norway,9.81,,0.23553099,,,,5413567.0,,,11.4185505
Oceania,7.455,79.1464,1.3530684,,,,72944789.0,,,9.848728
Oceania (UN),,,,,,,72945647.0,,,
Oman,3.05,,1.0404669,,,,12094948.0,,,0.9304254
Pakistan,2.84,,5.846387,,,,511000569.0,,,6.4468656
Palau,,,2.2298372,,,,11095.0,,,13.895127
Palestine,3.44,,2.6280816,,,,11482138.0,,,
Panama,6.84,,1.3283068,,,,5904882.0,,,3.2744198
Papua New Guinea,5.97,,4.03057,,,,18640488.0,,,2.147306
Paraguay,5.92,,1.7017711,,,,9047942.0,,,6.5384107
Peru,5.69,,1.580508,,,,38163269.0,,,1.5203637
Philippines,6.63,,2.688177,516.0,,,114221864.0,,,4.083805
Poland,7.4,,0.43521816,2925.0,,,19329794.0,,,11.486423
Portugal,8.08,,0.31640318,4464.0,,,8753930.0,,,7.175203
Puerto Rico,,,,,,,995576.0,,14.231758,
Qatar,3.17,,0.6015529,,,,7272206.0,,,4.228627
Reunion,,,,,,,852168.0,,,
Romania,5.99,,0.6634308,,,,10768144.0,,,7.1921754
Russia,2.03,,0.4497858,,,,126386467.0,,,17.895721
Rwanda,3.34,,4.0014644,,,,32779296.0,,,13.641819
Saint Barthelemy,,,,,,,9207.0,,,
Saint Helena,,,,,,,2617.0,,,
Saint Kitts and Nevis,,,1.6277627,,,,30208.0,,,1.8838241
Saint Lucia,,,1.5545658,,,,108169.0,,,4.7390985
Saint Martin (French part),,,,,,,19982.0,,,
Saint Pierre and Miquelon,,,,,,,1987.0,,,
Saint Vincent and the Grenadines,,,1.0643464,,,,64197.0,,,0.28904554
Samoa,,,1.5703042,,,,383514.0,,,14.393077
San Marino,,,0.14293101,,,,31131.0,,,4.5966744
Sao Tome and Principe,,,1.394162,,,,533970.0,,,1.2548128
Saudi Arabia,2.08,,0.6157951,,,,71006643.0,,,1.4247717
Senegal,5.93,,3.8519263,,,,47014147.0,,,10.829882
Serbia,6.26,,0.52326196,,,,3701459.0,,,9.346975
Seychelles,,,1.4254322,,,,115917.0,,,3.8202038
Sierra Leone,4.32,,9.427626,,,,15934215.0,,,9.713483
Singapore,6.18,,0.20690385,,,,4162966.0,,,7.0366325
Sint Maarten (Dutch part),,,,,,,42250.0,,,
Slovakia,7.21,,0.6075153,,,,3427175.0,,,7.588392
Slovenia,7.82,,0.22466716,4388.0,,,1631990.0,,,13.211437
Solomon Islands,,,2.0550117,,,,1849151.0,,,22.35394
Somalia,,,10.401917,,,,67363975.0,,,15.333117
South Africa,7.16,,3.4650595,,,,94314390.0,,,21.228935
South America,6.0091667,,1.4254899,,,,379096659.0,,,6.5841107
South Korea,7.75,,0.27607253,4946.783,,,21848753.0,,,20.575
South Sudan,,,9.872844,,,,23840726.0,,,13.431118
Spain,8.13,,0.3115647,,,,33127430.0,,,6.1967764
Sri Lanka,6.19,,0.6107925,,,,21249362.0,,,13.933179
Sudan,1.46,,5.014924,,,,136890704.0,,,3.8911543
Suriname,6.79,,1.6234303,,,,708956.0,,,22.418344
Sweden,9.39,,0.24746522,7017.0,,,11366852.0,,,11.742835
Switzerland,9.32,,0.39435646,,,,9126079.0,,,9.868958
Syria,1.32,,2.0555098,,,,43686593.0,,,0.66339177
Taiwan,8.78,,,,,,10016939.0,,,
Tajikistan,1.83,,2.7321172,,,,20201533.0,,,3.1018872
Tanzania,5.2,,3.8857045,,,,262834674.0,,,9.226781
Thailand,6.27,,0.921389,,,,45555015.0,,,15.344368
Togo,2.99,,5.8289814,,,,26300701.0,,,15.163547
Tokelau,,,,,,,4335.0,,,
Tonga,,,0.99296945,,,,117820.0,,,5.466819
Trinidad and Tobago,7.09,,1.907158,,,,898311.0,,,11.649863
Tunisia,4.71,,1.2906594,,,,10652180.0,,,1.8332902
Turkey,4.26,,1.2791306,,,,65338406.0,,,2.5761416
Turkmenistan,1.66,,3.99547,,,,9946549.0,,,7.627216
Turks and Caicos Islands,,,0.5612179,,,,38634.0,,,
Tuvalu,,,1.9891257,,,,12242.0,,,15.773687
Uganda,4.49,,3.8807676,,,,120835135.0,,,11.5531435
Ukraine,4.9,,0.807272,,,,15197360.0,,,16.87927
United Arab Emirates,3.07,,0.50285804,,,,26134248.0,,,1.7270633
United Kingdom,8.34,,0.4457009,6265.543,,,74305363.0,,,8.786779
United States,7.85,,0.64789516,12473.791,,,421278833.0,,,14.071722
United States Virgin Islands,,,,,,,61931.0,,,
Upper-middle-income countries,,,1.409776,,,,2055804441.0,,,
Uruguay,8.67,,0.66624707,,,,2245844.0,,,22.015646
Uzbekistan,2.1,,1.3320605,,,,74349947.0,,,9.005688
Vanuatu,,,1.6795478,,,,875438.0,,,18.088873
Vatican,,,,,,,1303.0,,,
Venezuela,2.25,,2.4257355,,,,28280505.0,,,8.938228
Vietnam,2.62,,2.004781,,,,91705070.0,,,7.072024
Wallis and Futuna,,,,,,,6848.0,,,
Western Sahara,,,,,,,831255.0,,,
World,5.174551,73.1694,3.6718857,,,,10180160680.0,,,8.847767
Yemen,1.95,,3.925354,,,,110035579.0,,,5.210097
Zambia,5.73,,4.4723396,,,,64473867.0,,,13.12222
Zimbabwe,2.98,,4.4212008,,,,37166528.0,,,25.492823
