.,Charact.,Unit,SCWI SPEC,SCWI EMCCD,SCWI Skipper,SCWI CMOS,SCWI MCP,SCWI MIN REQ,SCWI PERF,"ISTOS
DEEP",FIREBall-2 2025,FIREBall-2 2018,FIREBall-1,UVEX FUV,UVEX NUV,ASPERA,JUNO UVS,GALEX FUV,GALEX NUV,LUMOS,CASTOR DMD,CETUS,KCWI blue,KCWI red,Blue MUSE,NIRSPEC,ELT Harmony,MUSE wide,MUSE narrow,NISP,SPHERE IRDIS,SPHEREx,tREXS,POLLUX,ARAGO,CASSTOR,LUMOS-MOS,LUMOS-POINT,LUMOS-IFS,HUBBLE-COS,HUBBLE-STIS,SUMIRE PFS Blue,VLT MOONS,MOSAIC,EUCLID vis,MESSIER nuv,UVEX fuv,UVEX nuv,GALEX fuv,GALEX nuv
Type,Type,.,ULDB,ULDB,ULDB,ULDB,ULDB,ULDB,ULDB,IFS,Balloon,,,MIDEX,MIDEX,CubeSat,Orbiter,MIDEX,MIDEX,Flagship,Flagship,Proble,Ground,Ground,Ground,Flagship,Ground,Ground,Ground,M-class,Ground,SMEX,Suborbital,Flagship,M8,16U cube sat,Flagship,Flagship,Flagship,,,Ground,Ground,Ground,,,MIDEX,MIDEX,MIDEX,MIDEX
,focal_length,.,,,,,,,,16/800,2.5,2.5,,,,?,,,,,,,,,,,,,,25,,3,13.9,,,,26,26,26,57.6m,57.6m,,,,,,,,,
,Launch_date,.,2030?,2030?,2030?,2030?,2030?,2030?,2030?,?,2018,,,~2030,~2030,2025,2011,2003,2003,2040?,~2040,2035?,2023,2017,~2030,2023,2030?,2014,2014,2023,2011,2024,2022,2040,2032?,2028?,2040,2040,2040,2009,1997,2025,2025,2032?,,,~2030,~2030,2003,2003
Instrum. design,Spectro description,.,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Multi slit,Multi slit,Fibers,Long slit,Long slit,Grating,Slit,Slitless,Slitless,MOS,DMD MOS,MSA MOS,Slicer,Slicer,Slicer,IFU,Slicer,Slicer,Slicer,Slit less,Long slit,Lin. var filters,Slitless,Spectro-pollarimeter,Spectro-pollarimeter,Spectro-pollarimeter,MOS,Point source,IFS,Pin Hole,Slit,Fibers MOS,fibers MOS,Fibers MOS VIS,Imager,Imager,Long slit,Long slit,Slitless,Slitless
,Signal_CU,LU/Å,3.49E+03,8.21E+02,8.21E+02,8.21E+02,8.21E+02,8.21E+02,8.21E+02,5.01E+05,3.41E+03,8.01E+02,8.01E+02,6.41E+02,9.21E+02,4.15E+02,6.01E+02,6.12E+02,9.10E+02,6.01E+02,8.01E+02,1.00E+03,1.80E+03,2.80E+03,1.80E+03,2.40E+03,2.40E+03,2.80E+03,2.80E+03,4.01E+03,4.01E+03,4.01E+03,8.73E+00,4.22E+05,1.36E+06,4.22E+05,6.75E+02,6.01E+02,1.00E+03,2.72E+05,7.59E+05,,,,,,,,,
,Signal_e-_res_tot,e-/res/Nframes,2.44E+03,1.50E+06,1.79E+05,1.26E+06,4.26E+05,1.41E+05,3.22E+06,2.44E+04,1.02E+04,1.17E+07,#N/A,2.49E+05,3.58E+05,1.03E+02,1.24E+03,3.79E+06,4.05E+06,1.26E+09,6.61E+06,2.25E+07,1.82E+11,2.18E+11,4.28E+11,3.43E+10,9.44E+11,4.75E+11,1.69E+13,1.85E+10,2.66E+11,3.88E+09,4.26E+06,1.61E+04,3.08E+04,4.83E+02,5.57E+05,4.55E+00,1.76E+07,1.47E+09,1.70E+08,#REF!,,,,,,,,
,Sky_e-_source_tot,e-/source/Nframes,1.32E+00,7.41E+01,5.22E+01,9.95E+01,3.34E+01,8.53E+00,5.42E+01,4.64E+01,9.47E+01,4.94E+03,8.63E+02,3.16E+03,4.54E+03,5.65E+00,5.05E+01,3.95E+03,2.64E+03,1.14E+06,2.44E+02,2.76E+03,4.48E+04,4.48E+04,6.63E+06,3.19E+06,6.69E+05,3.37E+04,2.25E+04,2.06E+05,2.07E+05,3.04E+06,2.01E+05,5.40E-02,5.06E-02,1.21E-03,3.06E+01,1.53E-02,6.12E+02,3.28E+02,6.29E+01,,,,,,,,,
,Source_e-_source_tot,e-/source/Nframes,2.31E+00,6.08E+01,4.29E+01,8.17E+01,2.74E+01,7.01E+00,4.45E+01,2.71E+02,3.77E+00,4.62E+01,8.06E+00,2.95E+01,4.24E+01,1.58E-01,9.45E-01,1.21E+01,1.20E+01,1.07E+04,4.56E+01,5.15E+02,1.61E+05,2.51E+05,1.09E+05,1.99E+04,2.50E+04,1.22E+05,8.10E+04,8.25E+03,2.58E+03,4.05E+02,7.84E-02,1.14E+01,3.44E+01,2.56E-01,1.03E+01,4.59E-03,3.06E+02,1.28E+03,2.45E+02,,,,,,,,,
Contribution per  per All exposure,Signal Contrib,e-/pix/exp,2.31,60.82,42.90,81.65,27.39,7.01,44.52,271.33,3.77,46.18,#N/A,29.50,42.41,0.16,0.94,12.10,11.99,10676.91,45.61,515.40,161496.52,251216.81,109358.22,19867.47,25010.33,121509.14,81006.09,8246.76,2584.97,405.32,0.08,11.39,34.43,0.26,10.32,0.00,306.17,1280.33,245.18,#REF!,,,,,,,,
,Sky Contrib,e-/pix/exp,1.32,74.08,52.25,99.45,33.36,8.53,54.23,46.44,94.71,4940.04,#N/A,3156.26,4537.13,5.65,50.55,3953.30,2635.53,1142202.78,243.95,2756.83,44804.07,44804.07,6631306.86,3188098.40,668893.84,33710.35,22473.56,205853.42,207402.78,3035280.46,201255.87,0.05,0.05,0.00,30.58,0.02,611.58,328.30,62.87,#REF!,,,,,,,,
,Dark Contrib,e-/pix/exp,17.60,822.40,2030.00,15456.00,22.39,836.00,1204.00,0.01,52.50,2460.02,#N/A,8440.78,8440.78,1.64,0.88,4284.75,4630.72,589090.91,86994.00,62.99,501511.11,1157333.33,1630125.00,3360000.00,113236200.00,1630125.00,86940000.00,4935246.75,119988000.00,45895958.71,75443.02,1018080.00,645120.00,1357440.00,26220.83,482.13,27912.50,12714.98,7693.33,0.00,,,,,,,,
,CIC Contrib,e-/pix/exp,3.17,74.02,0.00,0.00,0.00,300.96,216.72,0.09,40.50,3795.46,#N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
,Extra Contrib,e-/pix/exp,4.40,41.12,29.00,42.93,43.20,418.00,30.10,0.00,22.50,10542.95,#N/A,0.00,0.00,0.00,0.00,8694.00,9396.00,3272.73,0.00,0.00,50151.11,38577.78,54337.50,48000.00,314545.00,54337.50,2898000.00,35251.76,57137.14,25497.75,0.00,18.85,11.95,25.14,3745.83,68.88,3987.50,0.00,0.00,0.00,,,,,,,,
,Total contribution,e-/pix/exp,28.81,1072.44,2154.14,15680.03,126.34,1570.50,1549.57,317.86,213.98,21784.66,#N/A,11626.54,13020.31,7.45,52.37,16944.15,16674.24,1745243.32,87283.56,3335.21,757962.81,1491931.99,8425127.58,6615965.87,114244649.17,1839681.98,89941479.66,5184598.70,120255124.89,48957142.25,276698.98,1018110.29,645166.43,1357465.40,30007.56,551.02,32817.76,14323.61,8001.38,#REF!,,,,,,,,
% Contribution per source per All exposure,% Signal,%,0.08,0.06,0.02,0.01,0.22,0.00,0.03,0.85,0.02,0.00,#N/A,0.00,0.00,0.02,0.02,0.00,0.00,0.01,0.00,0.15,0.21,0.17,0.01,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.03,#REF!,,,,,,,,
,% Sky,%,0.05,0.07,0.02,0.01,0.26,0.01,0.03,0.15,0.44,0.23,#N/A,0.27,0.35,0.76,0.97,0.23,0.16,0.65,0.00,0.83,0.06,0.03,0.79,0.48,0.01,0.02,0.00,0.04,0.00,0.06,0.73,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,#REF!,,,,,,,,
,% Dark,%,0.61,0.77,0.94,0.99,0.18,0.53,0.78,0.00,0.25,0.11,#N/A,0.73,0.65,0.22,0.02,0.25,0.28,0.34,1.00,0.02,0.66,0.78,0.19,0.51,0.99,0.89,0.97,0.95,1.00,0.94,0.27,1.00,1.00,1.00,0.87,0.87,0.85,0.89,0.96,0%,,,,,,,,
,% CIC,%,0.11,0.07,0.00,0.00,0.00,0.19,0.14,0.00,0.19,0.17,#N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0%,,,,,,,,
,% Extra,%,0.15,0.04,0.01,0.00,0.34,0.27,0.02,0.00,0.11,0.48,#N/A,0.00,0.00,0.00,0.00,0.51,0.56,0.00,0.00,0.00,0.07,0.03,0.01,0.01,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0%,,,,,,,,
Noise per source per All exposure,Signal Noise,e-/pix/exp,1.52,7.80,6.55,9.04,5.23,2.65,6.67,16.47,2.74,6.80,#N/A,5.43,6.51,0.40,0.97,3.48,3.46,103.33,6.75,22.70,401.87,501.22,330.69,140.95,158.15,348.58,284.62,90.81,50.84,20.13,0.28,3.37,5.87,0.51,3.21,0.07,17.50,35.78,15.66,#REF!,,,,,,,,
,Sky Noise,e-/pix/exp,1.15,8.61,7.23,9.97,5.78,2.92,7.36,6.81,13.72,70.29,#N/A,56.18,67.36,2.38,7.11,62.88,51.34,1068.74,15.62,52.51,211.67,211.67,2575.13,1785.52,817.86,183.60,149.91,453.71,455.41,1742.21,448.62,0.23,0.22,0.03,5.53,0.12,24.73,18.12,7.93,#REF!,,,,,,,,
,Readnoise,e-/pix/exp,0.48,2.30,12.92,248.64,0.00,3.12,3.94,0.00,1.14,11.07,#N/A,183.75,183.75,0.00,0.00,0.00,0.00,1029.74,761.55,0.00,2655.65,2329.16,5142.68,21032.55,110587.11,5142.68,37556.82,41963.86,40565.38,12368.77,29480.56,300.83,239.47,347.36,46.45,6.30,47.92,0.00,0.00,#DIV/0!,,,,,,,,
,Dark Noise,e-/pix/exp,4.20,28.68,45.06,124.32,4.73,28.91,34.70,0.08,10.22,49.60,#N/A,91.87,91.87,1.28,0.94,65.46,68.05,767.52,294.95,7.94,708.17,1075.79,1276.76,1833.03,10641.25,1276.76,9324.16,2221.54,10953.90,6774.66,274.67,1009.00,803.19,1165.09,161.93,21.96,167.07,112.76,87.71,0.00,,,,,,,,
,CIC Noise,e-/pix/exp,1.78,8.60,0.00,0.00,0.00,17.35,14.72,0.30,8.97,61.61,#N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
,Extra Noise,e-/pix/exp,2.10,6.41,5.39,6.55,6.57,20.45,5.49,0.00,6.69,102.68,#N/A,0.00,0.00,0.00,0.00,93.24,96.93,57.21,0.00,0.00,223.94,196.41,233.10,219.09,560.84,233.10,1702.35,187.75,239.03,159.68,0.00,4.34,3.46,5.01,61.20,8.30,63.15,0.00,0.00,0.00,,,,,,,,
,Total noise,e-/pix/exp,5.39,32.83,48.18,278.40,11.24,39.75,39.56,17.83,20.66,148.01,#N/A,213.05,216.29,2.73,7.24,130.17,129.13,1674.99,816.85,57.75,2794.72,2630.01,5905.28,21189.24,111102.45,5318.54,38735.72,42025.59,42021.48,14210.69,29485.26,1052.90,838.16,1215.78,179.35,24.30,187.39,119.68,89.45,#REF!,,,,,,,,
% Noise per source per All exposure,% Signal,%,0.14,0.12,0.08,0.02,0.23,0.04,0.09,0.70,0.06,0.02,#N/A,0.02,0.02,0.10,0.11,0.02,0.02,0.03,0.01,0.27,0.10,0.12,0.03,0.01,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.05,0.21,0.14,#REF!,,,,,,,,
,% Sky,%,0.10,0.14,0.09,0.03,0.26,0.04,0.10,0.29,0.32,0.23,#N/A,0.17,0.19,0.59,0.79,0.28,0.23,0.35,0.01,0.63,0.05,0.05,0.27,0.07,0.01,0.03,0.00,0.01,0.01,0.08,0.01,0.00,0.00,0.00,0.02,0.00,0.08,0.11,0.07,#REF!,,,,,,,,
,% Readnoise,%,0.04,0.04,0.17,0.62,0.00,0.04,0.05,0.00,0.03,0.04,#N/A,0.54,0.53,0.00,0.00,0.00,0.00,0.34,0.71,0.00,0.63,0.54,0.54,0.84,0.90,0.72,0.77,0.93,0.78,0.59,0.98,0.23,0.23,0.23,0.17,0.17,0.15,0.00,0.00,#DIV/0!,,,,,,,,
,% Dark,%,0.37,0.46,0.58,0.31,0.21,0.38,0.48,0.00,0.23,0.16,#N/A,0.27,0.26,0.32,0.10,0.29,0.31,0.25,0.27,0.10,0.17,0.25,0.13,0.07,0.09,0.18,0.19,0.05,0.21,0.32,0.01,0.77,0.76,0.77,0.58,0.60,0.52,0.68,0.79,0%,,,,,,,,
,% CIC,%,0.16,0.14,0.00,0.00,0.00,0.23,0.20,0.01,0.21,0.20,#N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0%,,,,,,,,
,% Extra,%,0.19,0.10,0.07,0.02,0.29,0.27,0.08,0.00,0.15,0.34,#N/A,0.00,0.00,0.00,0.00,0.41,0.44,0.02,0.00,0.00,0.05,0.05,0.02,0.01,0.00,0.03,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.22,0.23,0.20,0.00,0.00,0%,,,,,,,,
Limiting Flux (5σ),Flux (e/source/Allframe),5σ,41,172,251,1404,64,211,208,49,130,752,#N/A,1077,1094,31,50,663,658,8372,4097,278,13841,12922,29493,105956,555524,26548,193686,210140,210120,71066,147439,5277,4203,6091,909,135,945,584,453,#REF!,,,,,,,,
,LU,phot/s/cm2/sr/Å,7.9E+03,2.7E+02,5.6E+02,1.6E+03,2.4E+02,2.9E+03,4.4E+02,1.1E+04,9.1E+04,6.7E+03,#N/A,1.7E+04,1.7E+04,9.5E+02,9.2E+01,4.7E+01,2.7E+01,1.3E+03,1.5E+05,4.6E+02,6.5E+02,1.6E+02,1.7E+03,3.8E+03,2.1E+06,2.2E+03,1.9E+05,1.6E+02,2.3E+05,1.1E+01,6.8E+04,2.0E+09,6.5E+08,6.7E+09,5.8E+05,1.8E+08,5.1E+03,5.4E+06,2.8E+07,#REF!,,,,,,,,
,Flux,"erg/cm2/s/""2/Å",1.8E-18,6.1E-20,1.3E-19,3.7E-19,5.6E-20,6.5E-19,1.0E-19,2.5E-18,2.1E-17,1.6E-18,#N/A,4.9E-18,3.5E-18,4.3E-19,2.9E-20,1.4E-20,5.5E-21,3.9E-19,3.4E-17,8.6E-20,6.7E-20,1.0E-20,1.8E-19,3.0E-19,1.6E-16,1.4E-19,1.3E-17,7.4E-21,1.1E-17,5.3E-22,1.4E-15,5.4E-13,5.6E-14,1.9E-12,1.6E-16,5.4E-14,9.5E-19,1.2E-15,2.3E-15,#REF!,,,,,,,,
,Brightness over pix (source),ergs/cm2/s/,1.3E-16,6.6E-18,1.4E-17,4.0E-17,6.0E-18,7.1E-17,1.1E-17,2.2E-16,1.3E-15,1.1E-16,#N/A,1.4E-16,9.7E-17,5.2E-16,7.6E-17,3.1E-17,1.3E-17,1.6E-17,9.2E-17,1.9E-18,8.2E-18,9.8E-19,4.3E-17,1.6E-17,9.2E-17,3.5E-17,2.6E-15,2.8E-18,1.1E-17,6.0E-17,1.8E-10,5.5E-13,2.2E-13,5.6E-10,1.0E-15,6.2E-15,6.3E-18,1.1E-13,6.6E-13,#REF!,,,,,,,,
,"Power (PS, z~0.7)",ergs/s,1.7E+41,8.6E+39,1.8E+40,5.2E+40,7.8E+39,9.2E+40,1.4E+40,2.9E+41,1.7E+42,1.4E+41,#N/A,1.8E+41,1.3E+41,6.8E+41,9.9E+40,4.1E+40,1.7E+40,2.0E+40,1.2E+41,2.4E+39,1.1E+40,1.3E+39,5.6E+40,2.1E+40,1.2E+41,4.6E+40,3.3E+42,3.6E+39,1.4E+40,7.8E+40,2.3E+47,7.1E+44,2.9E+44,7.3E+47,1.3E+42,8.1E+42,8.2E+39,1.4E+44,8.6E+44,#REF!,,,,,,,,
,Old_signal Contrib,e-/pix/exp,18.32,524.76,370.09,704.44,214.79,60.46,384.13,2252.56,4.89,89.77,#N/A,40.76,58.59,13.44,329.07,8592.01,22304.71,3979.35,22.54,603.98,38606.53,230979.23,30877.62,66781.42,649.48,34308.46,2859.04,5335170.23,3688.14,25093982.42,19.06,1.14,8.81,0.38,1.06,0.00,185.73,,,,,,,,,,,
,Old_Sky Contrib,e-/pix/exp,10.49,639.15,450.76,858.00,261.62,73.63,467.86,771.12,122.97,9603.21,#N/A,4360.10,6267.64,479.28,17601.72,187200.40,354052.92,425705.69,120.54,3230.66,10710.63,41194.73,1872369.00,10716297.14,17370.25,9518.22,793.18,133175055.19,295914.96,187916730753.56,311706.99,0.01,0.01,0.00,3.13,0.00,371.00,,,,,,,,,,,
,old pixels,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.1,0.1,0.0,,,,,,,,,,,
Verification,Shot noise,1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,#N/A,1.000,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,
,skyN=SignalL if sky=signal,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F5sigma/F,,#DIV/0!,#N/A,0,#N/A,0,0,0,#DIV/0!,#DIV/0!,0,#N/A,0,,0,0,0,0,0,0,0,0,0,0,#REF!,#DIV/0!,#DIV/0!,0,0,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,
,QSUM(NOISE),,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
,ergs2lu(lu2ergs),,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,line_width/dispersion,,2,1,1,1,1,1,1,2,9,4,5,2,2,2,1,0,0,21,1,2,9,2,2,0,1,2,2,0,0,0,57,101,8,101,30,113,3,,,,,,,,,,,
,"\sqrt{min(\frac{Width_s}{Platescale},\frac{Line_w}{ dispersion})^2 + \frac{min(Line_w, Band_w)}{dispersion}^2}",,3,1,1,1,1,1,1,3,10,6,7,3,3,2,1,0,0,30,1,3,12,2,3,0,2,3,3,0,0,0,57,103,11,101,36,115,4,,,,,,,,,,,
,10*wavelength / Spectral_resolution / self.dispersion,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.7,0.7,0.2,0.3,0.2,0.1,2.0,0.3,0.4,0.5,0.1,0.6,1.0,1.0,0.3,0.0,0.2,0.6,0.6,0.2,0.3,5.8,2.9,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,
,"\sqrt{min(\frac{Width_s}{Platescale},\frac{Line_w}{ dispersion})^2 + \frac{min(Line_w, Band_w)}{dispersion}^2}",,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.28,1.01,1.01,0.31,0.37,0.24,0.14,2.00,0.43,0.59,0.66,0.13,0.85,1.41,1.41,0.40,0.02,0.35,0.82,0.82,0.29,0.37,6.02,3.09,0.28,0.28,0.28,0.28,0.28,0.28,,,,,,,,,,,
