.,Charact.,Unit,SCWI SPEC,SCWI EMCCD,SCWI Skipper,SCWI CMOS,SCWI MCP,SCWI MIN REQ,SCWI PERF,"ISTOS
DEEP",FIREBall-2 2025,FIREBall-2 2018,FIREBall-1,UVEX FUV,UVEX NUV,ASPERA,JUNO UVS,GALEX FUV,GALEX NUV,LUMOS,CASTOR DMD,CETUS,KCWI blue,KCWI red,Blue MUSE,NIRSPEC,ELT Harmony,MUSE wide,MUSE narrow,NISP,SPHERE IRDIS,SPHEREx,tREXS,POLLUX,ARAGO,CASSTOR,LUMOS-MOS,LUMOS-POINT,LUMOS-IFS,HUBBLE-COS,HUBBLE-STIS,SUMIRE PFS Blue,VLT MOONS,MOSAIC,EUCLID vis,MESSIER nuv,UVEX fuv,UVEX nuv,GALEX fuv,GALEX nuv
Type,Type,.,ULDB,ULDB,ULDB,ULDB,ULDB,ULDB,ULDB,IFS,Balloon,,,MIDEX,MIDEX,CubeSat,Orbiter,MIDEX,MIDEX,Flagship,Flagship,Proble,Ground,Ground,Ground,Flagship,Ground,Ground,Ground,M-class,Ground,SMEX,Suborbital,Flagship,M8,16U cube sat,Flagship,Flagship,Flagship,,,Ground,Ground,Ground,,,MIDEX,MIDEX,MIDEX,MIDEX
,focal_length,.,,,,,,,,16/800,2.5,2.5,,,,?,,,,,,,,,,,,,,25,,3,13.9,,,,26,26,26,57.6m,57.6m,,,,,,,,,
,Launch_date,.,2030?,2030?,2030?,2030?,2030?,2030?,2030?,?,2018,,,~2030,~2030,2025,2011,2003,2003,2040?,~2040,2035?,2023,2017,~2030,2023,2030?,2014,2014,2023,2011,2024,2022,2040,2032?,2028?,2040,2040,2040,2009,1997,2025,2025,2032?,,,~2030,~2030,2003,2003
Instrum. design,Spectro description,.,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Slicer,Multi slit,Multi slit,Fibers,Long slit,Long slit,Grating,Slit,Slitless,Slitless,MOS,DMD MOS,MSA MOS,Slicer,Slicer,Slicer,IFU,Slicer,Slicer,Slicer,Slit less,Long slit,Lin. var filters,Slitless,Spectro-pollarimeter,Spectro-pollarimeter,Spectro-pollarimeter,MOS,Point source,IFS,Pin Hole,Slit,Fibers MOS,fibers MOS,Fibers MOS VIS,Imager,Imager,Long slit,Long slit,Slitless,Slitless
,Bandwidth,Å,160,160,160,160,160,160,160,1200,160,160,160,1500,1500,50,1420,400,1050,1000,1500,1700,2100,5200,2300,279000,5500,4650,4650,2920,7000,16700,24,1350,6890,1350,1350,1000,3000,2300,9150,2700,12000,2500,,,,,,
,Spectral_resolution,λ/dλ,1500,1500,1500,1500,1500,1500,1500,2500,1300,1300,5000,1600,3500,2000,75,200,90,8000,1500,1000,4500,1400,4000,2700,3500,3000,3000,380,350,41,50,100000,25000,100000,30000,100000,4000,4000,30000,2300,1000,4000,,,,,,
,Slitwidth,"""",5,5,5,5,5,5,5,10.00,4,6,#N/A,2,2,60.00,90.00,3600,3600,3.00,0.2,2.00,1.35,1.35,0.200,0.1,0.03,0.200,0.025,42,0.1,12600,2160000,0.1,0.3,0.5,0.1,0.01,1,2.50,0.05,1.1,1.200,3,,,,,,
,Slitlength,"""",120,120,120,120,120,120,120,240.00,25,25,8,3600,3600,3600,432.00,3600,3600,5.00,20,360.00,20.40,20.40,84,3.0,0.06,60.000,7.500,42,11,81360,2160000,0.1,10,10,2,0.01,3,2.50,31.00,1.1,1.200,3,,,,,,
,dispersion,Å/pix,1.10,1.1,1.10,1.10,1.0,1.10,1.10,0.40,0.21,0.21,0.18,0.38,0.38,0.53,1.00,2.50,6.06,0.04,1.40,0.42,0.10,0.50,0.40,14.29,0.69,0.40,0.40,13.00,11.00,4.18,0.02,0.01,0.11,0.01,0.03,0.01,0.31,0.01,0.01,0.70,0.35,0.63,,,,,,
Telescope,Name,.,SCWI,SCWI,SCWI,SCWI,SCWI,SCWI,SCWI,ISTOS,FB,FB,FB,UVEX,UVEX,ASPERA,JUNO,GALEX,GALEX,LUVOIR,CASTOR,CETUS,Keck,Keck,VLT,JWST,ELT,VLT,VLT,EUCLID,VLT,SPHEREx,tREXS,HWO,.,cubesat,HWO,HWO,HWO,Hubble,Hubble,Subaru,VLT,ELT,EUCLID,MESSIER,UVEX,UVEX,GALEX,GALEX
,Altitude,km,36,36,36,36,36,36,36,1000,35,35,35,1000,1000,450,1000,1000,1000,1000,1000,1000,4,4,3,1000,3,3,3,1000,3,1000,250,1000,1000,1000,1000,1000,1000,575,575,4,3,3,1000,1000,1000,1000,1000,1000
,Collecting_area,m2,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.707,0.785,0.79,0.442,0.442,0.00254,0.00100,0.196,0.196,176.000,0.780,1.77,75.398,75.398,52.810,34.21,1195,52.810,52.810,1.13,52.81,0.031,0.035,50.265,0.785,0.011,50.265,50.265,50.265,4.072,4.072,52.810,52.810,1195,1.131,0.780,0.442,0.442,0.196,0.196
,Atmosphere,%/100,0.40,0.40,0.40,0.40,0.40,0.40,0.40,1.00,0.40,0.40,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,0.90,0.90,1.00,0.92,0.90,0.90,1.00,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,0.90,0.92,1.00,1.00,1.00,1.00,1.00,1.00
,Sky,"erg/cm2/s/""2/Å",4.55E-19,2.28E-19,2.28E-19,2.28E-19,2.28E-19,2.28E-19,2.28E-19,2.00E-17,2.00E-17,2.00E-17,2.00E-17,2.00E-17,2.00E-17,1.00E-18,1.00E-18,1.53E-19,1.03E-19,2.00E-17,1.00E-18,1.00E-18,5.19E-20,3.33E-20,1.13E-17,3.00E-17,5.00E-18,5.19E-20,5.19E-20,1.00E-18,1.50E-17,1.00E-18,2.00E-18,5.54E-19,1.72E-19,5.54E-19,5.54E-19,6.22E-19,3.73E-19,1.59E-17,1.59E-17,1.70E-17,1.13E-17,5.00E-18,1.00E-18,1.00E-18,2.00E-17,2.00E-17,2.00E-18,2.00E-18
Obs. Startegy,Name,.,Galaxy CGM,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Galaxy core,Galaxy CGM,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Cosmic Web,Bright quasar,Bright quasar,Bright quasar,Cosmic Web,Cosmic Web,Cosmic Web,QSO,QSO,QSO,QSO,QSO,QSO,QSO,QSO,QSO,QSO,QSO
,Signal,"erg/cm2/s/""2/Å",8.0E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.2E-16,8.0E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.9E-19,1.2E-16,1.2E-16,1.2E-16,1.9E-19,1.9E-19,1.9E-19,6.2E-17,6.2E-17,3.4E-19,2.1E-19,2.8E-19,1.7E-19,8.4E-19,1.5E-18,6.1E-19,1.1E-18,7.4E-19
